,artist,title
0,cody johnson,'til you can't
1,young dolph,100 shots
2,taylor swift,22 (taylor's version)
3,tai verdes,a-o-k
4,walker hayes,aa
5,gayle,abcdefu
6,gayle,abcdefu (feat. royal & the serpent)
7,silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins,after last night
8,mickey guyton,all american
9,shane smith & the saints,all i see is you
10,mariah carey,all i want for christmas is you
11,adele,all night parking (with erroll garner) interlude
12,taylor swift,all too well (10 minute version) (taylor's version) (from the vault)
13,taylor swift,all too well (taylor's version)
14,juice wrld,already dead
15,jessie murph,always been you
16,taylor swift,babe (taylor's version) (from the vault)
17,ed sheeran,bad habits
18,polo g,bad man (smooth criminal)
19,måneskin,beggin
20,maneskin,beggin'
21,taylor swift,begin again (taylor's version)
22,yuuri,betelgeuse
23,neiked x mae muller x polo g,better days
24,"neiked, mae muller & polo g",better days
25,"neiked,  mae muller, &  polo g",better days
26,taylor swift,better man (taylor's version) (from the vault)
27,latto,big energy
28,avril lavigne,bite me
29,summer walker &  cardi b,bitter (narration by cardi b)
30,silk sonic (bruno mars & anderson .paak),blast off
31,the weeknd,blinding lights
32,young thug with drake & travis scott,bubbly
33,young thug,bubbly (with drake & travis scott)
34,bts,butter
35,jordan davis featuring luke bryan,buy dirt
36,jordan davis,buy dirt (feat. luke bryan)
37,rod wave,by your side
38,adele,can i get it
39,robert plant & alison krauss,can't let go
40,drake,champagne poetry
41,ryan hurd & maren morris,chasing after you
42,ryan hurd with maren morris,chasing after you
43,niziu,chopstick
44,blxst & tyga featuring ty dolla $ign,chosen
45,trans-siberian orchestra,christmas / sarajevo 12/24 (instrumental)
46,luke combs,cold as you
47,elton john & dua lipa,cold heart (pnau remix)
48,elton john &  dua lipa,cold heart (pnau remix)
49,blake shelton,come back as a country boy
50,taylor swift,come back...be here (taylor's version)
51,summer walker,constant b******t
52,official hige dandism,cry baby
53,adele,cry your heart out
54,andy grammer,damn it feels good to be me
55,fl dusa,dear god (feat. kevin gates)
56,acraze,do it to it (feat. cherish)
57,luke combs,doin' this
58,kid rock,don't tell me how to live (feat. monster truck)
59,yuuri,dried flower
60,elle king & miranda lambert,drunk (and i don't wanna go home)
61,girl named tom,dust in the wind (the voice performance)
62,bts,dynamite
63,adele,easy on me
64,taylor swift,enchanted
65,"imagine dragons, jid & league of legends","enemy (from the series ""arcane league of legends"")"
66,travis scott,escape plan
67,wizkid featuring justin bieber & tems,essence
68,wizkid,essence (feat. tems)
69,dj khaled,every chance i get (feat. lil baby & lil durk)
70,taylor swift featuring ed sheeran,everything has changed (taylor's version)
71,summer walker & jt,ex for a reason
72,"summer walker,  jt, &  city girls",ex for a reason
73,drake featuring travis scott,fair trade
74,drake,fair trade (feat. travis scott)
75,baby keem & kendrick lamar,family ties
76,walker hayes,fancy like
77,carrie underwood,favorite time of year
78,tate mcrae,feel like shit
79,silk sonic (bruno mars & anderson .paak),fly as me
80,pop smoke,for the night (feat. lil baby & dababy)
81,giveon,for tonight
82,taylor swift,forever winter (taylor's version) (from the vault)
83,jon batiste,freedom
84,jimmie allen & brad paisley,freedom was a highway
85,justin bieber,ghost
86,zoe wees,girls like us
87,drake featuring lil baby,girls want girls
88,drake,girls want girls (feat. lil baby)
89,matthew west,gobble gobble
90,state of mine & drew jacobs,god's country
91,olivia rodrigo,good 4 u
92,jimmie allen & nelly,good times roll
93,capella grey,gyalis
94,billie eilish,happier than ever
95,chloe,have mercy
96,aimyon,heart
97,glass animals,heat waves
98,jason aldean,heaven
99,adele,hello
100,adele,hold on
101,taylor swift,holy ground (taylor's version)
102,taylor swift,i almost do (taylor's version)
103,emmy meli,i am woman
104,taylor swift featuring chris stapleton,i bet you think about me (taylor's version) (from the vault)
105,taylor swift,i bet you think about me (taylor's version) (from the vault) [feat. chris stapleton]
106,sickick,i can feel it
107,chris lane,i don't know about you
108,nate smith,i don't wanna go to heaven
109,adele,i drink wine
110,pitbull,i feel good (feat. anthony watts & djws)
111,taylor swift,i knew you were trouble (taylor's version)
112,jon batiste,i need you
113,backstreet boys,i want it that way
114,foreigner,i want to know what love is
115,jason aldean & carrie underwood,if i didn't love you
116,drake,in the bible (feat. lil durk & givēon)
117,lil nas x &  jack harlow,industry baby
118,lil nas x & jack harlow,industry baby
119,summer walker,insane
120,michael bublé,it's beginning to look a lot like christmas
121,doja cat featuring sza,kiss me more
122,doja cat,kiss me more (feat. sza)
123,drake featuring 21 savage & project pat,knife talk
124,drake,knife talk (feat. 21 savage & project pat)
125,kenny chesney,knowing you
126,rosalia featuring the weeknd,la fama
127,wham!,last christmas (single version)
128,silk sonic (bruno mars & anderson .paak),leave the door open
129,"bruno mars,  anderson .paak, &  silk sonic",leave the door open
130,dua lipa,levitating
131,nelly & florida georgia line,lil bit
132,"tainy,  bad bunny, &  julieta venegas",lo siento bb:/
133,adele,love is a game
134,ckay,love nwantiti (ah ah ah)
135,ckay,love nwantiti (feat. axel & dj yo) [remix]
136,spencer crandall,made
137,adele,make you feel my love
138,"the anxiety,  willow, &  tyler cole",meet me at our spot
139,the anxiety: willow & tyler cole,meet me at our spot
140,"the anxiety, willow & tyler cole",meet me at our spot (live)
141,taylor swift,message in a bottle (taylor's version) (from the vault)
142,justin bieber,mistletoe
143,lil nas x,montero (call me by your name)
144,girl named tom,more hearts than mine
145,swedish house mafia &  the weeknd,moth to a flame
146,swedish house mafia & the weeknd,moth to a flame
147,adele,my little love
148,coldplay &  bts,my universe
149,coldplay x bts,my universe
150,macaroni empitsu,"nanndemonaiyo,"
151,doja cat,need to know
152,cole swindell & lainey wilson,never say never
153,carly pearce & ashley mcbryde,never wanted to be that girl
154,drake,no friends in the industry
155,summer walker &  sza,no love
156,summer walker & sza,no love
157,taylor swift featuring phoebe bridgers,nothing new (taylor's version) (from the vault)
158,vaundy,odoriko
159,adele,oh my god
160,jennifer lopez,on my way (marry me)
161,kane brown,one mississippi
162,post malone &  the weeknd,one right now
163,post malone & the weeknd,one right now
164,ed sheeran,overpass graffiti
165,farruko,pepas
166,bts,permission to dance
167,kanye west,praise god
168,silk sonic (bruno mars & anderson .paak),put on a smile
169,lilorx,racing into the night (ringtone remix)
170,polo g,rapstar
171,summer walker,reciprocate
172,taylor swift,red (taylor's version)
173,brenda lee,rockin' around the christmas tree (single)
174,adele,rolling in the deep
175,taylor swift featuring ed sheeran,run (taylor's version) (from the vault)
176,taylor swift,run (taylor's version) (from the vault) [feat. ed sheeran]
177,taylor swift,sad beautiful tragic (taylor's version)
178,amaarae & moliy featuring kali uchis,sad girlz luv money
179,amaarae &  kali uchis,sad girlz luv money remix (feat. moliy)
180,zac brown band,same boat
181,morgan wallen,sand in my boots
182,ariana grande,santa tell me
183,rich rowe,santa's gotta dirty job
184,the weeknd & ariana grande,save your tears
185,casting crowns,scars in heaven
186,meek mill featuring lil baby & lil durk,sharing locations
187,meek mill,sharing locations (feat. lil baby & lil durk)
188,ed sheeran,shivers
189,yuuri,shutter
190,the band mcmillan,single bells
191,silk sonic (bruno mars & anderson .paak),skate
192,rob thomas,small town christmas
193,"bruno mars,  anderson .paak, &  silk sonic",smokin out the window
194,silk sonic (bruno mars & anderson .paak),smokin out the window
195,"bruno mars, anderson .paak & silk sonic",smokin out the window
196,the band mcmillan,somebody's got to
197,taylor swift,starlight (taylor's version)
198,taylor swift,state of grace (taylor's version)
199,the kid laroi & justin bieber,stay
200,the kid laroi &  justin bieber,stay
201,taylor swift,stay stay stay (taylor's version)
202,adele,strangers by nature
203,carrie underwood,stretchy pants
204,back number,suiheisen
205,kodak black,super gremlin
206,the weeknd,take my breath
207,chris stapleton,tennessee whiskey
208,jon pardi,tequila little time
209,lil nas x,thats what i want
210,twice,the feels
211,taylor swift featuring gary lightbody of snow patrol,the last time (taylor's version)
212,taylor swift,the lucky one (taylor's version)
213,taylor swift,the moment i knew (taylor's version)
214,ben rector,the thanksgiving song
215,adam sandler,the thanksgiving song
216,taylor swift,the very first night (taylor's version) (from the vault)
217,dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
218,dustin lynch,thinking 'bout you (feat. mackenzie porter)
219,summer walker,throw it away
220,adele,to be loved
221,gunna &  future,too easy
222,summer walker,toxic (feat. lil durk)
223,olivia rodrigo,traitor
224,taylor swift,treacherous (taylor's version)
225,walker hayes,u gurl
226,summer walker &  ari lennox,unloyal
227,drake,wants and needs (feat. lil baby)
228,drake featuring future & young thug,way 2 sexy
229,drake,way 2 sexy (feat. future & young thug)
230,taylor swift,we are never ever getting back together (taylor's version)
231,michael ray,whiskey and rain
232,bing crosby,white christmas
233,"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
234,nardo wick,"who want smoke?? (feat. g herbo, lil durk & 21 savage)"
235,normani featuring cardi b,wild side
236,trans-siberian orchestra,wizards in winter (instrumental)
237,doja cat,woman
238,adele,woman like me
239,summer walker,you don’t know me
240,doja cat &  the weeknd,you right
241,doja cat & the weeknd,you right
242,chris stapleton,you should probably leave
243,moreart,я буду ебать (feat. ihi)
